"AGEP","SCHL","SSP","WAGP","WKHP","DIS","HICOV","PERNP","PINCP","POVPIP","POVERTY"
78,"22",21600,0,NA,1,1,0,21600,NA,NA
36,"19",0,50000,50,2,2,50000,50000,NA,NA
15,"11",0,0,NA,1,1,NA,0,NA,NA
67,"16",9500,0,NA,1,1,0,9500,NA,NA
21,"18",0,600,12,2,1,600,600,NA,NA
20,"18",0,3000,20,2,1,3000,3000,NA,NA
21,"18",0,5500,20,2,1,5500,5500,NA,NA
21,"19",0,13500,40,2,1,13500,13500,NA,NA
32,"17",0,12000,40,1,2,12000,12000,NA,NA
0,NA,NA,NA,NA,2,1,NA,NA,NA,NA
16,"13",0,0,NA,1,1,0,0,NA,NA
20,"18",0,1500,18,2,1,1500,1500,NA,NA
19,"19",0,0,NA,2,1,0,0,NA,NA
88,"14",14400,0,NA,1,1,0,38500,NA,NA
23,"20",0,9000,36,2,1,9000,9000,NA,NA
20,"19",0,15400,40,2,1,15400,15400,NA,NA
51,"09",15700,12500,20,1,1,12500,28200,219,FALSE
21,"18",0,40000,30,2,1,40000,40000,NA,NA
42,"16",0,0,NA,1,1,0,0,0,TRUE
19,"19",0,0,NA,2,2,0,0,NA,NA
23,"19",0,3500,24,2,1,3500,3500,NA,NA
26,"19",0,20000,30,2,1,20000,20000,NA,NA
20,"18",0,21000,30,2,1,21000,21000,NA,NA
28,"19",0,16000,40,2,2,16000,16000,NA,NA
22,"19",0,18000,40,2,1,18000,18000,NA,NA
29,"17",8500,0,NA,1,1,0,12000,92,TRUE
25,"21",0,10000,40,2,1,10000,10000,NA,NA
92,"16",13500,0,NA,1,1,0,17400,NA,NA
20,"16",0,0,NA,2,1,0,0,NA,NA
20,"19",0,2000,20,2,1,2000,2000,NA,NA
23,"20",0,8000,18,2,1,8000,8000,NA,NA
36,"11",0,0,NA,2,1,0,0,0,TRUE
34,"09",0,0,NA,2,2,0,0,NA,NA
21,"11",0,40000,60,1,2,40000,40000,NA,NA
25,"21",0,53000,40,2,1,53000,53000,NA,NA
19,"18",0,4000,15,2,2,4000,4000,NA,NA
19,"18",0,500,18,2,1,500,500,NA,NA
24,"18",0,0,NA,2,1,0,0,NA,NA
21,"19",0,0,NA,2,1,0,0,NA,NA
63,"16",0,26000,30,2,2,26000,26000,203,FALSE
65,"16",0,1600,35,2,2,1600,1600,NA,NA
21,"18",0,5500,20,2,1,5500,5500,NA,NA
62,"16",17500,3600,20,1,1,3600,36400,283,FALSE
30,"18",0,0,NA,2,2,0,0,NA,NA
21,"19",0,8000,25,2,1,8000,8000,NA,NA
36,"11",0,0,NA,2,1,0,0,0,TRUE
67,"22",15000,24000,50,2,1,24000,39000,326,FALSE
21,"19",0,5200,20,2,1,5200,5200,40,TRUE
27,"17",0,240,20,1,1,240,6740,NA,NA
38,"16",0,4000,45,2,2,4000,4000,NA,NA
87,"12",34300,0,NA,1,1,0,36200,NA,NA
9,"07",NA,NA,NA,2,1,NA,NA,NA,NA
46,"12",0,0,NA,1,1,0,0,0,TRUE
19,"14",0,5000,40,2,2,5000,5000,NA,NA
26,"19",0,11000,20,2,1,11000,11000,NA,NA
25,"21",0,40000,40,2,1,40000,40000,NA,NA
65,"18",10500,3600,30,1,1,3600,14100,118,FALSE
21,"18",0,0,NA,2,1,0,0,NA,NA
84,"16",25000,0,NA,1,1,0,45000,NA,NA
62,"11",0,0,NA,2,2,0,0,NA,NA
55,"19",0,0,NA,2,2,0,0,NA,NA
23,"19",0,0,NA,2,1,0,0,NA,NA
21,"19",0,8000,15,2,1,8000,8000,NA,NA
38,"19",0,0,NA,1,1,0,0,0,TRUE
36,"11",0,0,NA,2,1,0,0,0,TRUE
14,"11",NA,NA,NA,1,1,NA,NA,NA,NA
18,"19",0,2500,6,2,1,2500,2500,NA,NA
27,"19",0,14000,18,2,1,14000,14000,NA,NA
24,"19",0,24000,50,2,1,24000,24000,NA,NA
62,"16",17500,3600,20,1,1,3600,36400,283,FALSE
25,"14",0,12000,46,2,1,12000,12000,NA,NA
32,"21",0,34000,40,1,1,34000,34800,NA,NA
18,"18",0,2000,15,2,1,2000,2000,NA,NA
69,"16",4300,0,NA,1,1,0,4300,NA,NA
80,"16",12100,0,NA,1,1,0,12100,NA,NA
19,"19",0,9000,25,1,1,9000,9000,NA,NA
18,"18",0,1500,20,2,1,1500,1500,NA,NA
67,"16",9500,0,NA,1,1,0,9500,NA,NA
46,"12",0,0,NA,1,1,0,0,0,TRUE
18,"18",0,5000,50,2,1,5000,5000,NA,NA
45,"19",0,0,40,2,2,12000,12000,94,TRUE
30,"21",0,29000,40,2,1,29000,29000,NA,NA
22,"19",0,20000,25,2,1,20000,20000,NA,NA
25,"21",0,20000,20,2,1,20000,20000,NA,NA
30,"21",0,4500,20,2,2,4500,4500,NA,NA
43,"21",0,8000,45,2,2,8000,8000,NA,NA
22,"19",0,3500,33,2,1,3500,3500,NA,NA
21,"19",0,4000,35,2,1,4000,4000,NA,NA
63,"01",12400,3600,20,1,1,3600,16000,124,FALSE
26,"17",0,500,30,2,2,500,500,NA,NA
62,"16",17500,3600,20,1,1,3600,36400,283,FALSE
21,"19",0,3500,15,2,1,3500,3500,NA,NA
18,"20",0,400,10,2,1,400,400,NA,NA
60,"19",0,27000,40,1,1,27000,27000,NA,NA
34,"01",0,0,NA,1,1,0,0,NA,NA
40,"19",0,0,NA,1,2,0,0,NA,NA
83,"22",9900,0,NA,1,1,0,9900,NA,NA
15,"11",0,0,NA,1,1,NA,0,NA,NA
21,"18",0,700,20,2,1,700,700,NA,NA
66,"16",0,0,NA,1,1,0,8400,NA,NA
78,"19",8000,0,NA,1,1,0,8000,NA,NA
17,"14",0,0,NA,2,1,0,0,NA,NA
18,"18",0,1700,15,2,1,1700,1700,NA,NA
87,"12",34300,0,NA,1,1,0,36200,NA,NA
20,"16",0,0,NA,2,1,0,0,NA,NA
21,"19",0,1000,25,2,1,1000,1000,NA,NA
12,"09",NA,NA,NA,2,1,NA,NA,NA,NA
18,"18",0,5000,27,2,1,5000,5000,NA,NA
18,"18",0,5000,30,2,1,5000,5000,NA,NA
60,"19",0,0,NA,1,1,0,0,NA,NA
43,"21",0,8000,45,2,2,8000,8000,NA,NA
31,"22",0,18000,40,2,1,18000,18000,139,FALSE
42,"19",0,10000,40,2,1,10000,10000,NA,NA
18,"16",0,7000,35,2,1,7000,7000,NA,NA
28,"17",0,0,NA,1,1,0,6500,NA,NA
32,"22",0,20000,20,2,1,20000,20000,NA,NA
23,"19",0,0,NA,2,1,0,0,NA,NA
42,"16",0,0,NA,1,1,0,0,0,TRUE
17,"19",0,9500,15,2,1,9500,9500,NA,NA
62,"19",8100,0,NA,1,1,0,16900,NA,NA
19,"19",0,0,NA,2,1,0,0,NA,NA
29,"14",0,0,NA,2,1,0,2000,15,TRUE
17,"13",0,0,NA,2,1,0,0,NA,NA
92,"16",13500,0,NA,1,1,0,17400,NA,NA
55,"12",0,0,NA,2,2,0,800,NA,NA
20,"16",0,20000,50,2,1,20000,20000,NA,NA
19,"19",0,5000,25,2,1,5000,5000,NA,NA
17,"13",0,0,NA,2,1,0,0,NA,NA
17,"13",0,0,NA,1,1,0,0,NA,NA
19,"19",0,800,10,2,1,800,800,NA,NA
19,"19",0,5000,22,1,2,5000,5000,NA,NA
23,"13",0,750,10,1,2,750,750,NA,NA
36,"18",0,75000,40,2,2,75000,75000,NA,NA
21,"16",0,98000,40,2,1,98000,98000,501,FALSE
51,"09",15700,12500,20,1,1,12500,28200,219,FALSE
17,"14",0,0,NA,2,1,0,0,NA,NA
19,"19",0,3700,35,2,1,3700,3700,NA,NA
55,"17",0,2700,42,2,1,2700,2700,20,TRUE
21,"19",0,15000,35,2,1,15000,15000,NA,NA
21,"19",0,7300,20,2,1,7300,7300,NA,NA
19,"18",0,3000,40,2,1,3000,3000,NA,NA
23,"19",0,18000,20,2,2,18000,18000,NA,NA
